name,score,total_return_pct,cagr_pct,sharpe,sortino,calmar,max_drawdown_pct,exposure_pct,trades,win_rate_pct
Ichimoku Cloud Trend,79.87,11108.83,66.6,1.42,1.38,1.2,-55.69,38.1,63,36.51
ATR Trailing Trend,79.22,12308.08,68.44,1.38,1.41,1.11,-61.48,44.38,76,31.58
Triple EMA 10/20/50,72.08,9885.03,64.53,1.32,1.31,0.95,-68.13,43.43,51,37.25
VWMA 20 Trend,70.78,8837.76,62.57,1.39,1.39,1.27,-49.1,37.74,114,32.46
EMA 20/50 Trend,69.48,9846.32,64.46,1.22,1.31,0.96,-67.29,55.48,27,40.74
Donchian 20/10 Breakout,69.48,7099.38,58.81,1.27,1.33,1.04,-56.54,45.71,49,44.9
HMA 55 Trend,62.99,6402.93,57.07,1.3,1.31,1.06,-53.95,38.31,132,40.91
EMA 20/50/200 Stack,62.34,7731.63,60.26,1.36,1.25,1.4,-43.11,34.61,96,32.29
Keltner Breakout,62.34,5660.22,55.03,1.34,1.15,1.55,-35.53,31.38,45,51.11
Turtle 55/20 Breakout,55.84,4111.3,49.86,1.14,1.08,0.87,-57.28,40.79,23,56.52
Buy and Hold,53.9,6752.99,57.97,1.01,1.38,0.7,-83.4,100.0,0,0.0
RSI Trend Filter,53.25,5095.68,53.31,1.33,1.21,1.37,-38.98,30.4,93,34.41
Supertrend 10x3,47.4,3496.54,47.33,1.08,1.12,0.9,-52.62,49.64,49,46.94
MACD Histogram Reaccel,46.1,2456.81,41.99,1.36,1.08,1.03,-40.59,16.16,173,39.31
SMA 50/200 Trend,44.16,2197.48,40.36,0.9,0.92,0.58,-69.27,54.17,9,66.67
ADX DMI Trend,42.86,3520.33,47.43,1.13,1.08,0.86,-55.08,37.69,80,36.25
Bollinger Breakout,38.31,1778.86,37.34,1.04,0.93,0.62,-60.56,32.42,67,43.28
Bollinger Mean Reversion,33.12,-39.48,-5.29,0.07,0.05,-0.07,-78.19,22.97,51,62.75
MACD Momentum,31.17,1505.53,35.02,1.08,0.81,0.76,-46.37,20.87,64,42.19
RSI Mean Reversion,30.52,308.86,16.45,0.6,0.44,0.3,-54.79,20.43,22,68.18
Pullback Above 200 SMA,27.27,2097.4,39.68,1.04,0.91,0.86,-46.16,32.39,59,33.9
Stochastic Oversold Cross,17.53,-41.42,-5.62,-0.15,-0.05,-0.08,-74.57,7.87,95,30.53
