name,total_return,cagr,sharpe,sortino,max_drawdown,calmar,exposure,trades,win_rate,score
Ichimoku Cloud Trend,111.08827152960113,0.6660061202445948,1.4182121022329872,1.382777857277241,-0.556856741266295,1.1960098008871969,0.38099467140319715,63,0.36507936507936506,79.87
ATR Trailing Trend,123.08083162418491,0.6844230723931759,1.3775361611425023,1.406853419384006,-0.6148110214535715,1.1132251187934523,0.4437537004144464,76,0.3157894736842105,79.22
Triple EMA 10/20/50,98.85030140814409,0.6453029909933381,1.3219864644202304,1.3112532869322613,-0.6812832873995232,0.9471874665478397,0.4342806394316163,51,0.37254901960784315,72.08
VWMA 20 Trend,88.37762735602846,0.6257031889929974,1.386676861931708,1.3921461454944222,-0.4910196939910364,1.274293468571995,0.3774422735346359,114,0.32456140350877194,70.78
EMA 20/50 Trend,98.46321727142585,0.644611935396415,1.22110971134706,1.3100844044701212,-0.6729358863848363,0.9579098818156602,0.5547661338069864,27,0.4074074074074074,69.48
Donchian 20/10 Breakout,70.99381861020265,0.588113633148845,1.268044269763944,1.3256039255738756,-0.5653967214142734,1.0401787114678485,0.4570751924215512,49,0.4489795918367347,69.48
HMA 55 Trend,64.02928568408491,0.5707333848113885,1.3024907686527516,1.3114642424249834,-0.539526229216988,1.0578417765521637,0.3830669034931912,132,0.4090909090909091,62.99
EMA 20/50/200 Stack,77.31625901208584,0.6026381654321027,1.3616899622179954,1.253637987549023,-0.43110899013757453,1.3978789104810598,0.34606275902901124,96,0.3229166666666667,62.34
Keltner Breakout,56.6022275603932,0.5502645558059565,1.3369211631722078,1.150797314351883,-0.3553347207089471,1.5485808837033839,0.3137951450562463,45,0.5111111111111111,62.34
Turtle 55/20 Breakout,41.11304903953725,0.4986280900753013,1.1397407647000035,1.083791471166004,-0.5728329013581056,0.8704599349882396,0.4079336885731202,23,0.5652173913043478,55.84
Buy and Hold,67.52992816813448,0.5796663790178984,1.0111627838091748,1.3762090753936576,-0.8339900882218975,0.6950518803572018,1.0,0,0.0,53.9
RSI Trend Filter,50.956780453923216,0.5330652972956997,1.3317881928322004,1.211057631826952,-0.3898233246587973,1.3674535708253952,0.3040260509177028,93,0.34408602150537637,53.25
Supertrend 10x3,34.96538868503584,0.4732674156233989,1.0789389331412689,1.1230603780158275,-0.5262302011660793,0.8993543406947766,0.49644760213143874,49,0.46938775510204084,47.4
MACD Histogram Reaccel,24.568054697500894,0.4198875373545057,1.3580062555130126,1.0833357489761963,-0.40588262568763933,1.0345048316447136,0.16163410301953818,173,0.3930635838150289,46.1
SMA 50/200 Trend,21.97479489265762,0.4035582139661391,0.8968508721185007,0.9174808056662379,-0.6927303502994426,0.5825617627287375,0.5417406749555951,9,0.6666666666666666,44.16
ADX DMI Trend,35.20333933068997,0.47431856645562,1.1294540579194676,1.0753984276523267,-0.5508360277247675,0.8610884956359818,0.376850207223209,80,0.3625,42.86
Bollinger Breakout,17.788550009317927,0.37335214918122817,1.038391202653112,0.927757016840667,-0.6055755994278295,0.6165244265686816,0.3241563055062167,67,0.43283582089552236,38.31
Bollinger Mean Reversion,-0.3948284239920925,-0.052872625376865656,0.07441856171322908,0.04621744524207293,-0.7819297970362664,-0.06761812323467882,0.22972172883362937,51,0.6274509803921569,33.12
MACD Momentum,15.05533863109827,0.3501982649475912,1.079451679726231,0.8130952823053316,-0.4637435854284693,0.7551549518987535,0.20870337477797513,64,0.421875,31.17
RSI Mean Reversion,3.0886239988216113,0.16452024352143102,0.6041625351936569,0.43792513161709756,-0.5479359819579557,0.300254498588587,0.20426287744227353,22,0.6818181818181818,30.52
Pullback Above 200 SMA,20.97403442333561,0.39681359291000273,1.035602513940715,0.9095787906966695,-0.4616212891688972,0.8596085194086819,0.32386027235050324,59,0.3389830508474576,27.27
Stochastic Oversold Cross,-0.4141979883835659,-0.05619914263680248,-0.14658779748208187,-0.054672392608580235,-0.74568627264083,-0.07536566609678165,0.07874481941977501,95,0.30526315789473685,17.53
